stellarType,starColor
F9Ib,255 246 233
F9II,255 246 239
F9III,255 246 245
F9IV,255 250 249
F9V,255 247 252
F9VI,255 247 252
G0Ia0,255 239 219
G0Ia,255 239 219
G0Ib,255 239 219
G0II,255 244 233
G0III,255 242 233
G0IV,255 248 245
G0V,255 248 252
G0VI,255 248 252
G1Ia0,255 238 212
G1Ia,255 238 212
G1Ib,255 238 212
G1II,255 243 227
G1III,255 243 233
G1IV,255 246 244
G1V,255 247 248
G1VI,255 247 248
G2Ia0,255 236 205
G2Ia,255 236 205
G2Ib,255 236 205
G2II,255 241 221
G2III,255 243 233
G2IV,255 244 242
G2V,255 245 242
G2VI,255 245 242
G3Ia0,255 231 203
G3Ia,255 231 203
G3Ib,255 231 203
G3II,255 239 215
G3III,255 243 233
G3IV,255 238 226
G3V,255 243 236
G3VI,255 243 236
G4Ia0,255 231 193
G4Ia,255 231 193
G4Ib,255 231 193
G4II,255 237 209
G4III,255 243 233
G4IV,255 245 238
G4V,255 241 229
G4VI,255 241 229
G5Ia0,255 230 183
G5Ia,255 230 183
G5Ib,255 230 183
G5II,255 235 203
G5III,255 236 211
G5IV,255 235 213
G5V,255 244 234
G5VI,255 244 234
G6Ia0,255 227 178
G6Ia,255 227 178
G6Ib,255 227 178
G6II,255 233 198
G6III,255 236 215
G6IV,255 242 234
G6V,255 244 235
G6VI,255 244 235
G7Ia0,255 223 172
G7Ia,255 223 172
G7Ib,255 223 172
G7II,255 231 194
G7III,255 234 207
G7IV,255 231 205
G7V,255 244 235
G7VI,255 244 235
G8Ia0,255 220 167
G8Ia,255 220 167
G8Ib,255 220 167
G8II,255 229 189
G8III,255 231 199
G8IV,255 233 211
G8V,255 237 222
G8VI,255 237 222
G9Ia0,255 221 174
G9Ia,255 221 174
G9Ib,255 221 174
G9II,255 227 184
G9III,255 231 196
G9IV,255 229 200
G9V,255 239 221
G9VI,255 239 221
K0Ia0,255 221 181
K0Ia,255 221 181
K0Ib,255 221 181
K0II,255 226 180
K0III,255 227 190
K0IV,255 225 189
K0V,255 238 221
K0VI,255 238 221
K1Ia0,255 220 177
K1Ia,255 220 177
K1Ib,255 220 177
K1II,255 224 175
K1III,255 223 181
K1IV,255 216 171
K1V,255 224 188
K1VI,255 224 188
K2Ia0,255 211 135
K2Ia,255 211 135
K2Ib,255 211 135
K2II,255 222 170
K2III,255 221 175
K2IV,255 229 202
K2V,255 227 196
K2VI,255 227 196
K3Ia0,255 204 128
K3Ia,255 204 128
K3Ib,255 204 128
K3II,255 220 166
K3III,255 216 167
K3IV,255 219 167
K3V,255 222 195
K3VI,255 222 195
K4Ia0,255 201 118
K4Ia,255 201 118
K4Ib,255 201 118
K4II,255 218 161
K4III,255 211 146
K4IV,255 218 166
K4V,255 216 181
K4VI,255 216 181
K5Ia0,255 209 154
K5Ia,255 209 154
K5Ib,255 209 154
K5II,255 216 156
K5III,255 204 138
K5IV,255 217 165
K5V,255 210 161
K5VI,255 210 161
K6Ia0,255 208 152
K6Ia,255 208 152
K6Ib,255 208 152
K6II,255 214 152
K6III,255 206 140
K6IV,255 216 164
K6V,255 205 152
K6VI,255 205 152
K7Ia0,255 207 150
K7Ia,255 207 150
K7Ib,255 207 150
K7II,255 212 147
K7III,255 208 142
K7IV,255 216 163
K7V,255 199 142
K7VI,255 199 142
K8Ia0,255 206 147
K8Ia,255 206 147
K8Ib,255 206 147
K8II,255 210 142
K8III,255 206 139
K8IV,255 215 162
K8V,255 209 174
K8VI,255 209 174
K9Ia0,255 205 145
K9Ia,255 205 145
K9Ib,255 205 145
K9II,255 209 138
K9III,255 205 135
K9IV,255 214 161
K9V,255 202 157
K9VI,255 202 157
M0Ia0,255 204 143
M0Ia,255 204 143
M0Ib,255 204 143
M0II,255 207 133
M0III,255 203 132
M0IV,255 213 160
M0V,255 195 139
M0VI,255 195 139
M1Ia0,255 202 138
M1Ia,255 202 138
M1Ib,255 202 138
M1II,255 205 128
M1III,255 200 121
M1IV,255 212 159
M1V,255 204 142
M1VI,255 204 142
M2Ia0,255 193 104
M2Ia,255 193 104
M2Ib,255 193 104
M2II,255 203 124
M2III,255 198 118
M2IV,255 211 157
M2V,255 196 131
M2VI,255 196 131
M3Ia0,255 192 118
M3Ia,255 192 118
M3Ib,255 192 118
M3II,255 201 119
M3III,255 200 119
M3IV,255 210 156
M3V,255 206 129
M3VI,255 206 129
M4Ia0,255 185 104
M4Ia,255 185 104
M4Ib,255 185 104
M4II,255 199 114
M4III,255 206 127
M4IV,255 209 155
M4V,255 201 127
M4VI,255 201 127
M5Ia0,255 178 078
M5Ia,255 178 078
M5Ib,255 178 078
M5II,255 197 110
M5III,255 197 124
M5IV,255 209 154
M5V,255 204 111
M5VI,255 204 111
M6Ia0,255 171 052
M6Ia,255 171 052
M6Ib,255 171 052
M6II,255 195 105
M6III,255 178 121
M6IV,255 208 153
M6V,255 195 112
M6VI,255 195 112
M7Ia0,255 164 026
M7Ia,255 164 026
M7Ib,255 164 026
M7II,255 193 100
M7III,255 165 097
M7IV,255 207 152
M7V,255 197 111
M7VI,255 197 111
M8Ia0,255 157 000
M8Ia,255 157 000
M8Ib,255 157 000
M8II,255 192 096
M8III,255 167 097
M8IV,255 206 151
M8V,255 198 109
M8VI,255 198 109
M9Ia0,255 157 000
M9Ia,255 157 000
M9Ib,255 157 000
M9II,255 190 091
M9III,255 233 154
M9IV,255 205 150
M9V,255 198 108
M9VI,255 198 108
N0Ia0,255 204 143
N0Ia,255 204 143
N0Ib,255 204 143
N0II,255 207 133
N0III,255 203 132
N0IV,255 213 160
N0V,255 195 139
N0VI,255 195 139
N1Ia0,255 202 138
N1Ia,255 202 138
N1Ib,255 202 138
N1II,255 205 128
N1III,255 200 121
N1IV,255 212 159
N1V,255 204 142
N1VI,255 204 142
N2Ia0,255 193 104
N2Ia,255 193 104
N2Ib,255 193 104
N2II,255 203 124
N2III,255 198 118
N2IV,255 211 157
N2V,255 196 131
N2VI,255 196 131
N3Ia0,255 192 118
N3Ia,255 192 118
N3Ib,255 192 118
N3II,255 201 119
N3III,255 200 119
N3IV,255 210 156
N3V,255 206 129
N3VI,255 206 129
N4Ia0,255 185 104
N4Ia,255 185 104
N4Ib,255 185 104
N4II,255 199 114
N4III,255 206 127
N4IV,255 209 155
N4V,255 201 127
N4VI,255 201 127
N5Ia0,255 178 078
N5Ia,255 178 078
N5Ib,255 178 078
N5II,255 197 110
N5III,255 197 124
N5IV,255 209 154
N5V,255 204 111
N5VI,255 204 111
,
N6Ia0,255 171 052
N6Ia,255 171 052
N6Ib,255 171 052
N6II,255 195 105
N6III,255 178 121
N6IV,255 208 153
N6V,255 195 112
N6VI,255 195 112
N7Ia0,255 164 026
N7Ia,255 164 026
N7Ib,255 164 026
N7II,255 193 100
N7III,255 165 097
N7IV,255 207 152
N7V,255 197 111
N7VI,255 197 111
N8Ia0,255 157 000
N8Ia,255 157 000
N8Ib,255 157 000
N8II,255 192 096
N8III,255 167 097
N8IV,255 206 151
N8V,255 198 109
N8VI,255 198 109
N9Ia0,255 157 000
N9Ia,255 157 000
N9Ib,255 157 000
N9II,255 190 091
N9III,255 233 154
N9IV,255 205 150
N9V,255 198 108
N9VI,255 198 108
WC0Ia0,144 166 255
WC0Ia,144 166 255
WC0Ib,144 166 255
WC0II,144 166 255
WC0III,144 166 255
WC0IV,144 166 255
WC0V,144 166 255
WC0VI,144 166 255
WC1Ia0,146 168 255
WC1Ia,146 168 255
WC1Ib,146 168 255
