id,hip,proper,ra,dec,dist,mag,spect,x,y,z,ci
53543,53699,,10.98715,-33.737595,48.5201,5.7,F2V,-38.938548,10.574076,-26.947539,1.106
54328,54487,,11.146969,24.658464,141.2429,5.7,A3IV,-125.175384,28.42871,58.927696,0.63
61378,61571,,12.616204,17.089536,194.5525,5.7,K5III,-183.547736,-29.869795,57.172298,1.436
62507,62703,,12.849413,-52.787424,101.833,5.7,A5V,-60.069438,-13.582579,-81.099466,1.605
63851,64053,,13.127305,-53.459764,100.1001,5.7,B8V,-57.021709,-17.334867,-80.424478,0.521
66111,66320,,13.592027,-5.396191,97.1817,5.7,G6III,-88.468334,-39.167569,-9.139167,0.04
67634,67848,,13.897507,53.728677,146.8429,5.7,A0V,-76.373082,-41.402602,118.388227,2.601
71748,71974,,14.720431,-24.997753,152.439,5.7,B9.5V,-104.575605,-90.287833,-64.418072,1.084
74153,74380,,15.199363,-48.743687,77.7605,5.7,A3IV,-34.317781,-38.100815,-58.45779,1.122
78628,78868,,16.098851,-72.400898,89.2061,5.7,K1IIICNII,-12.877153,-23.699574,-85.031263,0.986
84898,85157,,17.40183,22.960285,42.6985,5.7,F0IV,-6.131707,-38.834469,16.656316,0.58
95393,95690,,19.463366,-54.325272,164.7446,5.7,K4III,35.913791,-89.111386,-133.82873,0.599
95524,95823,,19.489951,-43.445195,62.383,5.7,Am,17.222376,-41.889669,-42.898129,0.581
97655,97966,,19.910459,-8.227289,147.929,5.7,B7Vn,70.21118,-128.472762,-21.16868,0.475
99182,99500,,20.193007,62.078542,48.3559,5.7,F5V,12.297658,-19.012573,42.726686,0.461
99523,99841,,20.256604,33.729084,97.4659,5.7,K0III,45.150746,-67.320668,54.119515,0.445
103057,103389,,20.946479,-26.296378,21.9684,5.7,F7V,13.729882,-14.12012,-9.732257,0.465
105311,105652,,21.399672,24.274135,51.8135,5.7,F1IV,36.703986,-29.727485,21.300613,0.287
106217,106559,,21.580848,-20.084274,27.1003,5.7,F5V,20.516105,-15.06357,-9.306314,0.397
107587,107930,,21.866954,55.796743,460.8295,5.7,B6IV-V,219.694065,-137.256942,381.128351,1.154
110895,111242,,22.537851,76.226441,240.9639,5.7,A2V,53.217775,-21.428364,234.034613,0.94
117200,117567,,23.842579,-14.40149,139.47,5.7,K4III,134.972184,-5.565708,-34.688163,0.513
118351,,,5.124227,18.647141,15.868,5.7,G4 V,3.416956,14.641592,5.073618,0.368
88,88,,0.017941,-48.809876,181.8182,5.71,G8III,119.736878,0.562356,-136.823418,0.626
1084,1086,,0.22524,41.03537,34.904,5.71,F0IV,26.282289,1.551559,22.915172,0.337
5285,5296,,1.129502,-9.78555,47.1476,5.71,F7IV,44.445274,13.539556,-8.013286,0.466
14894,14930,,3.209209,-57.321549,321.5434,5.71,C5II,115.855638,129.296386,-270.647657,1.294
16073,16112,,3.459281,-35.681323,139.47,5.71,K2III,69.919499,89.137206,-81.349726,0.478
19505,19554,,4.188967,5.523047,36.9822,5.71,F4V,16.806438,32.750294,3.559426,0.897
21225,21278,,4.565202,-6.738908,253.8071,5.71,B9p Si,92.467861,234.479677,-29.783031,1.474
22808,22860,,4.918562,-16.74067,145.1379,5.71,G8/K0III,38.826318,133.453532,-41.805594,0.256
22828,22881,,4.921847,-16.417767,85.3242,5.71,G6/G8III,22.796159,78.606747,-24.11602,1.032
23613,23668,,5.087832,-26.152391,76.2195,5.71,K2III,16.183353,66.474931,-33.594505,0.223
26280,26345,,5.609915,-6.064752,471.6981,5.71,B1V...,47.818914,466.614462,-49.836032,1.122
28428,28499,,6.016267,47.901923,354.6099,5.71,B9.5p SiFe,-1.012422,237.729024,263.120064,1.583
29161,29234,,6.163322,-22.774343,49.0436,5.71,F5V,-1.932926,45.178845,-18.984988,1.103
31484,31564,,6.606347,-18.659904,107.5269,5.71,G8/K0III+..,-16.103927,100.594027,-34.403308,1.357
34911,35005,,7.242395,12.115824,90.2527,5.71,G6III,-28.198227,83.615898,18.94307,1.072
40875,40990,,8.365169,-17.586334,95.2381,5.71,K0III,-52.691585,73.932206,-28.775667,0.338
41697,41816,,8.525145,24.081105,76.6284,5.71,F0IIIn,-42.953073,55.221048,31.26671,0.853
43029,43148,,8.788568,-46.155415,100000,5.71,F0Ib,-46196.71146,51616.47594,-72122.14167,0.412
48476,48613,,9.914234,-50.243959,92.8505,5.71,A0V,-50.744874,30.83704,-71.381184,0.513
