StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
70511,97416,187279, , ,,,19.79989966,31.5062461,91.40767824,6.79,1.98508661,A0          ,0.12
71073,98154,188929, , ,,,19.94715239,23.77669989,88.33922261,6.79,2.059232134,F0          ,0.328
71205,98313,189114, , ,,,19.97570428,-3.55371767,495.049505,6.79,-1.683243153,K5          ,1.925
76643,105478,203405, , ,,,21.36397494,1.36166621,100.8064516,6.79,1.772558361,F2          ,0.366
77044,106004,204110, , ,,,21.46958314,-52.30238677,290.6976744,6.79,-0.527207787,K0III       ,1.233
77076,106049,204699, , ,,,21.48014382,49.79510516,127.064803,6.79,1.269873662,A3          ,0.287
78271,107669,207193, , ,,,21.80964882,-47.77562859,132.8021248,6.79,1.173974881,F0V         ,0.341
78372,107813,207756, , ,,,21.84189504,32.6577145,113.8952164,6.79,1.50747258,K0          ,1.137
80368,110573,212442, , ,,,22.40013419,15.28150493,191.5708812,6.79,0.378352515,B9V         ,-0.075
81247,111868,214780, , ,,,22.65945907,51.15551661,84.38818565,6.79,2.158591752,F5          ,0.44
83663,115316,220134, , ,,,23.35598737,-4.67269023,141.4427157,6.79,1.037097069,A0          ,0.14
83805,115529,220562, , ,,,23.40219602,57.53551507,520.8333333,6.79,-1.793493856,B2V         ,0.254
85296,117674,223707, , ,,,23.86487885,4.74534804,186.5671642,6.79,0.435823948,A2          ,0.13
85402,117825,223833, , ,,,23.89682746,-83.00696549,210.5263158,6.79,0.173468048,M0III       ,1.503
219,297,225124, , ,,,0.06162965,48.43692667,155.7632399,6.8,0.83767514,A2          ,0.06
1202,1652,1613, , ,,,0.34543458,61.87959637,2040.816327,6.8,-4.7490196,M2II:       ,2.02
1902,2708,3145, , ,,,0.57365012,-45.42586849,175.1313485,6.8,0.583180541,K3III       ,1.293
4215,6048,7812, , ,,,1.295098,-7.65955931,102.5641026,6.8,1.745023078,A2          ,0.273
4521,6477,8474, , ,,,1.38809686,-33.5480125,185.528757,6.8,0.457943826,K5III       ,1.524
4523,6480,8346, , ,,,1.38835291,36.51467328,131.7523057,6.8,1.201208879,B8          ,0.031
6475,9300,12204, , ,,,1.99195053,-13.87248328,400,6.8,-1.210299957,M2III       ,1.578
6595,9472,12853, , ,,,2.03120106,-74.44569171,694.4444444,6.8,-2.40818754,M5III       ,1.63
7313,10505,13825, , ,,,2.25669955,24.27176457,26.40612622,6.8,4.691476526,G8IV        ,0.69
7785,11143,14880, , ,,,2.38981383,-26.99524763,111.8568233,6.8,1.556687594,K2III       ,1.097
8502,12151,16108, , ,,,2.61004581,42.40057819,225.2252252,6.8,0.036914851,B8          ,-0.067
9174,13106,17610, , ,,,2.80859891,-33.78297278,179.2114695,6.8,0.533170995,K0III       ,0.974
10251,14619,19939, , ,,,3.1472682,-64.56545641,65.65988181,6.8,2.713499517,A9III       ,0.343
11160,15886,21940, , ,,,3.41027421,-76.746118,94.16195857,6.8,1.930622584,A2m...      ,0.2
12821,18292,24585, , ,,,3.9118004,2.08993379,140.2524544,6.8,1.065447649,G5          ,0.975
13485,19243,25213, , ,,,4.12381064,74.6366543,182.1493625,6.8,0.497861722,K0          ,0.966
14203,20229,27528, , ,,,4.3358511,-16.43724438,173.0103806,6.8,0.609639192,B9V         ,-0.03
14300,20350,27534, , ,,,4.35894454,18.41765943,50.42864347,6.8,3.286613571,F6V         ,0.441
14918,21167,28620, , ,,,4.53811959,37.04326501,43.30879168,6.8,3.617119665,F5          ,0.47
14967,21238,28693, , ,,,4.555997,43.03206695,72.99270073,6.8,2.483602836,F0          ,0.213
15019,21300,29751, , ,,,4.5709551,-73.20891718,189.7533207,6.8,0.409053076,G8III       ,0.919
15351,21760,29537, , ,,,4.67295813,29.97232007,75.93014427,6.8,2.397928875,F0          ,0.393
15446,21893,29963, , ,,,4.70617087,-23.17794265,578.0346821,6.8,-2.009769484,K5III       ,1.579
15700,22240,30790, , ,,,4.7852354,-59.13711895,165.0165017,6.8,0.712363121,K0III       ,1.044
15996,22647,30794, , ,,,4.87231574,36.64206505,142.4501425,6.8,1.031685561,K0          ,1.1
16467,23303,32021, , ,,,5.01183995,10.91344927,124.3781095,6.8,1.326280244,B9          ,0.034
16858,23824,35877, , ,,,5.12175374,-83.86025826,47.59638267,6.8,3.412130262,F8V         ,0.573
17859,25221,35528,1797,,          , ,5.39412979,-37.33670588,168.0672269,6.8,0.672584829,K1III       ,1.037
18552,26137,36843, , ,,,5.57335387,-4.80435741,177.9359431,6.8,0.548681578,Am          ,0.198
19578,27458,38604, , ,,,5.81439405,39.5336665,190.8396947,6.8,0.396656435,G0          ,0.82
19961,27962,39773, , ,,,5.91540308,5.86081431,184.501845,6.8,0.469996433,B9...       ,0.007
20308,28433,40571, , ,,,6.0047733,12.61142758,136.425648,6.8,1.125519873,B9          ,-0.043
22257,30838,45654, , ,,,6.47728307,-0.72108177,75.81501137,6.8,2.401223978,F8          ,0.495
22328,30925,45941, , ,,,6.49043237,-22.59112369,364.9635036,6.8,-1.011247186,A1V         ,0.066
22386,31002,45271, , ,,,6.50626752,60.14649955,325.732899,6.8,-0.764308123,B8          ,0.058
22461,31088,46185, , ,,,6.52339947,-12.55968565,450.4504505,6.8,-1.468235128,B2/B3II:    ,-0.161
23214,32055,48011, , ,,,6.69739396,14.2167413,153.3742331,6.8,0.871237979,A2          ,0.051
23718,32688,49381, , ,,,6.81905237,23.20193732,258.3979328,6.8,-0.261445175,A0          ,0.013
23762,32743,49500, , ,,,6.8286751,25.48445522,10000000,6.8,-8.2,K0III SB:   ,1.561
23820,32813,51211, , ,,,6.84035756,-69.98622227,153.609831,6.8,0.867904943,K0III       ,0.997
